prefecture,district,municipality
宮城県,,仙台市（旧宮城町、旧秋保町のみ）
宮城県,,白石市
宮城県,,栗原市（旧瀬峰町を除く。）
宮城県,,大崎市（旧古川市、旧岩出山町、旧鳴子町のみ）
宮城県,刈田郡,蔵王町、七ヶ宿町
宮城県,柴田郡,川崎町
宮城県,加美郡,加美町（旧小野田町、旧宮崎町のみ）
福島県,,福島市（旧松川町、旧信夫村及び旧飯野町を除く。）
福島県,,会津若松市
福島県,,郡山市（旧湖南村のみ）
福島県,,喜多方市
福島県,岩瀬郡,天栄村
福島県,南会津郡,南会津町、下郷町、檜枝岐村、只見町
福島県,耶麻郡,北塩原村、西会津町、磐梯町、猪苗代町
福島県,河沼郡,会津坂下町、湯川村、柳津町
福島県,大沼郡,会津美里町、三島町、金山町、昭和村
栃木県,,日光市（旧今市市及び旧足尾町を除く。）
栃木県,,那須塩原市（旧黒磯市、旧塩原町のみ）
栃木県,那須郡,那須町
群馬県,,沼田市（旧白沢村を除く。）
群馬県,,渋川市（旧赤城村及び旧北橘村を除く。）
群馬県,,高崎市（旧倉渕村、旧箕郷町、旧榛名町のみ）
群馬県,北群馬郡,榛東町、吉岡町
群馬県,吾妻郡,中之条町、東吾妻町、長野原町、嬬恋村、草津町、高山村
群馬県,利根郡,片品村、川場村、みなかみ町
山梨県,,南アルプス市（旧芦安村のみ）
山梨県,南巨摩郡,早川町
長野県,,長野市（旧篠ノ井市、旧松代町、旧川中島町、旧更北村及び旧信更村を除く。）
長野県,,上田市（旧塩田町、旧川西村、旧丸子町及び旧武石村を除く。）
長野県,,須坂市（旧東村のみ）
長野県,,中野市
長野県,,大町市（旧八坂村を除く。）
長野県,,飯山市
長野県,,松本市（旧安曇村のみ）
長野県,,安曇野市（旧穂高町、旧堀金村のみ）
長野県,,飯田市（旧南信濃村のみ）
長野県,北安曇郡,松川村、白馬村、小谷村
長野県,上高井郡,高山村
長野県,下高井郡,山ノ内町、木島平村、野沢温泉村
長野県,上水内郡,信濃町、飯綱町、小川村
長野県,下水内郡,栄村
岐阜県,,高山市
岐阜県,,山県市（旧美山町のみ）
岐阜県,,郡上市（旧美並村及び旧和良村を除く。）
岐阜県,,本巣市（旧根尾村のみ）
岐阜県,,下呂市（旧馬瀬村のみ）
岐阜県,,飛驒市
岐阜県,,関市（旧洞戸村、旧板取村のみ）
岐阜県,不破郡,関ヶ原町
岐阜県,揖斐郡,揖斐川町
岐阜県,大野郡,白川村
静岡県,,静岡市（旧井川村のみ）
静岡県,,浜松市（旧水窪町のみ）
滋賀県,,大津市（旧堅田町のみ）
滋賀県,,長浜市（旧びわ町、旧湖北町、旧虎姫町及び旧高月町を除く。）
滋賀県,,高島市（旧マキノ町、旧今津町、旧朽木村のみ）
滋賀県,,米原市（旧山東町、旧伊吹町のみ）
京都府,,福知山市（旧三和町を除く。）
京都府,,舞鶴市
京都府,,綾部市
京都府,,宮津市
京都府,,京丹後市
京都府,,南丹市（旧美山町のみ）
京都府,与謝郡,与謝野町、伊根町
兵庫県,,豊岡市
兵庫県,,養父市
兵庫県,,丹波市（旧青垣町のみ）
兵庫県,,朝来市
兵庫県,,宍粟市（旧波賀町、旧千種町のみ）
兵庫県,美方郡,新温泉町、香美町
島根県,,益田市（旧匹見町のみ）
島根県,,安来市（旧広瀬町、旧伯太町のみ）
島根県,,雲南市（旧掛合町、旧吉田村のみ）
島根県,,浜田市（旧金城町、旧旭町のみ）
島根県,仁多郡,奥出雲町
島根県,飯石郡,飯南町
島根県,邑智郡,美郷町（旧大和村のみ）、邑南町
岡山県,,津山市（旧久米町を除く。）
岡山県,,新見市（旧哲多町及び旧哲西町を除く。）
岡山県,,真庭市（旧北房町、旧勝山町、旧落合町及び旧久世町を除く。）
岡山県,,美作市（旧美作町、旧作東町及び旧英田町を除く。）
岡山県,真庭郡,新庄村
岡山県,苫田郡,鏡野町（旧富村、旧奥津町、旧上齋原村のみ）
岡山県,勝田郡,奈義町
岡山県,英田郡,西粟倉村
広島県,,廿日市市（旧吉和村のみ）
広島県,,安芸高田市（旧美土里町、旧高宮町のみ）
広島県,,三次市（旧君田村、旧布野村、旧作木村のみ）
広島県,,庄原市（旧西城町、旧東城町、旧口和町、旧高野町、旧比和町のみ）
広島県,山県郡,安芸太田町（旧戸河内町のみ）、北広島町
